Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
MCW_CT_ROA_100_R1	0.09053417442323576	0.0006009363832167172	0.0006112973553411432	0.0009739313796960588	0.0009946533239449111	0.0004455218013503248	0.0008081558257052403	0.0006734631880877002	0.0024141065049912945	0.0008599606863273711	0.0007149070765854049	0.0008599606863273711	0.0007770729093319618	0.0007356290208342572	0.0008288777699540926	0.0019582237315165438	0.001326204431926548	0.005398066476826028	0.0012122337385578605	0.0015230629022906451	0.0014090922089219575	0.0015437848465394977	0.0014298141531708098	0.0015437848465394977	0.001512701930166219	0.0014919799859173667	0.0016888384562814636	0.0011915117943090082	0.0017302823447791682	0.0017199213726547423	0.0017199213726547423	0.0017924481775257251	0.0014919799859173667	0.0017199213726547423	0.001854614010272282	0.0016163116514104805	0.0010153752681937634	0.0014919799859173667	0.0017820872054012992	0.0017510042890280205	0.0018753359545211343	0.0018856969266455607	0.0015541458186639236	0.0018960578987699866	0.0016784774841570376	0.14383101503128393	0.0017302823447791682	0.0018131701217745774	0.0016266726235349067	0.0015334238744150713	0.00156450679078835	0.0010464581845670419	0.001378009292548679	0.0014919799859173667	0.0014298141531708098	0.00169919942840589	0.0017406433169035946	0.0009117655469495019	0.0018338920660234297	0.001512701930166219	0.0016370335956593328	0.0018131701217745774	0.0017510042890280205	0.0009635704075716327	0.0014712580416685144	0.001647394567783759	0.001512701930166219	0.0018753359545211343	0.001916779843018839	0.0017302823447791682	0.0016266726235349067	0.0022897748394981807	0.0015334238744150713	0.001574867762912776	0.002165443174005067
MCW_CT_ROA_100_R2	0.003740310936917843	0.000590575411092291	0.0006423802717144217	0.0009117655469495019	0.0008599606863273711	0.0008392387420785188	0.09806660115769358	0.0007563509650831095	0.0005698534668434387	0.0007667119372075356	0.0005802144389678649	0.0004973266619724556	0.0007149070765854049	0.0009739313796960588	0.000787433881456388	0.0019375017872676915	0.003160096497949978	0.0015023409580417928	0.0016888384562814636	0.002186165118253919	0.0018753359545211343	0.002496994281986704	0.002341579700120312	0.0017924481775257251	0.0018649749823967084	0.0015230629022906451	0.0018649749823967084	0.0017302823447791682	0.0018235310938990038	0.0018131701217745774	0.002113638313382936	0.0022897748394981807	0.0017095604005303159	0.002393384560742442	0.0014919799859173667	0.0019271408151432653	0.002217248034627198	0.0017302823447791682	0.00210327734125851	0.0020100285921386745	0.0017613652611524469	0.0017820872054012992	0.001906418870894413	0.0018649749823967084	0.001647394567783759	0.0019478627593921176	0.0017717262332768728	0.17644735527897745	0.002186165118253919	0.0018028091496501515	0.0020721944248852315	0.0015541458186639236	0.0019375017872676915	0.001978945675765396	0.0019478627593921176	0.08499105433666776	0.002217248034627198	0.0018028091496501515	0.0022068870625027714	0.002476272337737852	0.0019271408151432653	0.002528077198359982	0.0024659113656134253	0.0020100285921386745	0.002362301644369164	0.002051472480636379	0.002362301644369164	0.002186165118253919	0.002175804146129493	0.0019375017872676915	0.002476272337737852	0.0015541458186639236	0.0018649749823967084	0.0045899106511207875	0.002279413867373755
MCW_CT_ROA_101_R1	0.07847389290615765	0.0007869155038594857	0.000686458205494445	0.0008706299191636863	0.0007869155038594857	0.0006194866732510845	0.0007534297377378054	0.0005692580240685641	0.0021430890317875356	0.0006362295563119247	0.0007534297377378054	0.0008873728022245265	0.0007199439716161252	0.0010548016328329275	0.0008371441530420061	0.001657545423023172	0.0014231450601714104	0.005207036631921277	0.0010213158667112473	0.001624059656901492	0.0014231450601714104	0.0018249742536315732	0.0015738310077189714	0.001540345241597291	0.001523602358536451	0.0015570881246581311	0.0015905738907798115	0.0011887446973196485	0.0016408025399623318	0.001657545423023172	0.0014398879432322505	0.0015068594754756109	0.0014901165924147708	0.0015905738907798115	0.002025888850361655	0.0016910311891448523	0.0010548016328329275	0.001657545423023172	0.0016742883060840122	0.0016073167738406514	0.0015738310077189714	0.002092860382605015	0.0015068594754756109	0.0017245169552665327	0.001774745604449053	0.1387650148082429	0.001774745604449053	0.0012724591126238494	0.0014398879432322505	0.0013561735279280498	0.0015570881246581311	0.0013059448787455295	0.0012724591126238494	0.001624059656901492	0.0017245169552665327	0.0016910311891448523	0.0017077740722056922	0.0010380587497720874	0.001958917318118294	0.00140640217711057	0.0016910311891448523	0.0015738310077189714	0.001624059656901492	0.00137291641098889	0.001540345241597291	0.0018249742536315732	0.001657545423023172	0.0017412598383273726	0.001958917318118294	0.0016742883060840122	0.0014566308262930906	0.00274583282197778	0.0017245169552665327	0.00137291641098889	0.002059374616483335
MCW_CT_ROA_101_R2	0.0033820623782897046	0.0006529724393727648	0.0006027437901902444	0.0008706299191636863	0.001238973346502169	0.0008204012699811659	0.09113151250015278	0.0007869155038594857	0.0005357722579468839	0.0006362295563119247	0.0006194866732510845	0.0007366868546769653	0.0005190293748860437	0.001105030282015448	0.0007199439716161252	0.0019421744350574541	0.003549491208898106	0.001791488487509893	0.0020091459673008145	0.0018752029028140937	0.002092860382605015	0.002226803447091736	0.002109603265665855	0.0014231450601714104	0.001925431551996614	0.001523602358536451	0.0016910311891448523	0.0022602892132134165	0.002210060564030896	0.002344003628517617	0.002092860382605015	0.002210060564030896	0.002109603265665855	0.0021598319148483755	0.0016073167738406514	0.0020091459673008145	0.0021430890317875356	0.0017412598383273726	0.0025449182252476987	0.002025888850361655	0.001791488487509893	0.0018417171366924133	0.0017245169552665327	0.001925431551996614	0.002109603265665855	0.0019756602011791343	0.0020426317334224947	0.1502841183541009	0.0021765747979092154	0.0021263461487266953	0.002092860382605015	0.0017245169552665327	0.0017245169552665327	0.001925431551996614	0.002360746511578457	0.07780417758372404	0.0024946895760651782	0.0022602892132134165	0.0028295472372819805	0.002377489394639297	0.002243546330152576	0.002243546330152576	0.0024277180438218174	0.002076117499544175	0.0021263461487266953	0.0024444609268826577	0.002076117499544175	0.0021765747979092154	0.002243546330152576	0.0023105178623959366	0.0025784039913693785	0.0018584600197532534	0.002076117499544175	0.004821950321521955	0.0023942322777001372
MCW_CT_ROA_102_R1	0.09427434133175251	0.0005219571259974517	0.0008995431320381615	0.001110547076590323	0.0009328595443358712	0.0004553243014020324	0.0006441173044223873	0.0005441680675292583	0.0021100394455216137	0.0007329610705496131	0.0007551720120814196	0.0009994923689312907	0.0006219063628905807	0.0008440157782086454	0.0009661759566335809	0.0018435081471399359	0.001554765907226452	0.005352836909165356	0.001266023667312968	0.0017768753225445165	0.0016547151441195812	0.0015325549656946456	0.0016547151441195812	0.0014659221410992262	0.0016325042025877746	0.0015214494949287423	0.0016213987318218714	0.0013548674334401937	0.0018212972056081296	0.0015214494949287423	0.0014215002580356133	0.001699137027183194	0.0014437111995674197	0.001899035500969452	0.0020656175624580004	0.0017324534394809036	0.0011993908427175488	0.0015769768487582585	0.00175466438101271	0.0015880823195241617	0.0017324534394809036	0.0017435589102468068	0.0014103947872697099	0.001699137027183194	0.0014103947872697099	0.1486245152600829	0.001510344024162839	0.0017768753225445165	0.001254918196547065	0.0015436604364605486	0.0016880315564172907	0.0012327072550152585	0.0014881330826310326	0.001254918196547065	0.0013326564919083875	0.0015769768487582585	0.0018768245594376458	0.0008440157782086454	0.001854613617905839	0.001454816670333323	0.0014659221410992262	0.001699137027183194	0.0014659221410992262	0.0009550704858676776	0.0014659221410992262	0.00175466438101271	0.0015325549656946456	0.0017879807933104197	0.001954562854798968	0.001454816670333323	0.0016325042025877746	0.002154461328585226	0.001699137027183194	0.00175466438101271	0.00209893397475571
MCW_CT_ROA_102_R2	0.0038202819434707104	0.0007107501290178066	0.0005996954213587744	0.0007884884243791292	0.0009550704858676776	0.0008995431320381615	0.10475790573476515	0.0006996446582519034	0.0008106993659109357	0.0006552227751882905	0.0006885391874860002	0.000633011833656484	0.0005885899505928711	0.0008551212489745487	0.000877332190506355	0.0018768245594376458	0.003265008405175549	0.0017324534394809036	0.0016769260856513875	0.0022099886824147423	0.001899035500969452	0.0020323011501602907	0.002187777740882936	0.0014770276118651294	0.0019767737963307746	0.001554765907226452	0.0015436604364605486	0.0020323011501602907	0.002221094153180646	0.0016102932610559681	0.0022099886824147423	0.0020323011501602907	0.001899035500969452	0.002221094153180646	0.0014881330826310326	0.002043406620926194	0.0019989847378625815	0.001899035500969452	0.002465414510030517	0.0023432543316055814	0.0016213987318218714	0.0017768753225445165	0.0018768245594376458	0.0017435589102468068	0.00175466438101271	0.0020545120916920976	0.0020656175624580004	0.1854169399075203	0.002176672270117033	0.0019767737963307746	0.0020211956793943875	0.0017768753225445165	0.0019434573840330651	0.002154461328585226	0.0019656683255648713	0.08914361383790521	0.0023321488608396782	0.002187777740882936	0.0022099886824147423	0.0026431020422849685	0.0020767230332239036	0.0023543598023714842	0.0019656683255648713	0.0023099379193078713	0.0020323011501602907	0.0020545120916920976	0.0022877269777760653	0.0020211956793943875	0.001887930030203549	0.0023210433900737746	0.0027763676914758072	0.0016880315564172907	0.0017213479687150004	0.004642086780147549	0.0023876762146691943
MCW_CT_ROA_107_R1	0.08963126056905493	0.0004894394570484957	0.0007164258719115661	0.000879572357594398	0.0009575989377035783	0.000574559362622147	0.0007306125228405079	0.000574559362622147	0.002525223865351659	0.0008086391029496886	0.0006454926172668566	0.0010569054942061718	0.0007589858246983918	0.0008511990557365142	0.0008937590085233398	0.0019577578281939827	0.0013548251637139517	0.00506463438163226	0.0012200519798890037	0.0015179716493967836	0.0015605316021836094	0.0017449580642598542	0.0015463449512546673	0.0014186650928941903	0.0017875180170466797	0.0015747182531125512	0.0015250649748612545	0.0014612250456810159	0.0016243715313638478	0.0014683183711454869	0.0014186650928941903	0.0016314648568283188	0.0015392516257901965	0.0017733313661177379	0.002057064384696576	0.001610184880434906	0.0011420253997798232	0.001588904904041493	0.0016314648568283188	0.0017733313661177379	0.0018584512716913891	0.002021597757374221	0.0012129586544245327	0.001595998229505964	0.0015179716493967836	0.14425695997094573	0.0018371712952979765	0.0016740248096151443	0.0015392516257901965	0.001475411696609958	0.0017875180170466797	0.0011420253997798232	0.001454131720216545	0.0014470383947520742	0.001610184880434906	0.0018300779698335054	0.0017733313661177379	0.0009859722395614621	0.002007411106445279	0.0014186650928941903	0.001610184880434906	0.001759144715188796	0.001595998229505964	0.001149118725244294	0.0017165847624019703	0.0017804246915822089	0.001475411696609958	0.0019293845263360985	0.002007411106445279	0.0017094914369374995	0.0016172782058993772	0.002525223865351659	0.0016740248096151443	0.0015605316021836094	0.002177650917592582
MCW_CT_ROA_107_R2	0.003745275845240663	0.0005958393390155599	0.0006667725936602694	0.0008228257538786303	0.0010852787960640555	0.0009363189613101657	0.09819290440467139	0.0006809592445892114	0.0007093325464470952	0.0006667725936602694	0.000737705848304979	0.0006525859427313275	0.0006596792681957985	0.00104271884327723	0.0008511990557365142	0.0018584512716913891	0.00350410277944865	0.0015463449512546673	0.0018229846443690344	0.002482663912564833	0.0017733313661177379	0.0021563709411991693	0.001922291200871628	0.0015108783239323126	0.0020428777337676337	0.0015250649748612545	0.0017733313661177379	0.002057064384696576	0.0017946113425111507	0.0016882114605440866	0.0021421842902702272	0.0022273041958438787	0.001922291200871628	0.0022131175449149366	0.0015676249276480802	0.002092531012018931	0.0021634642666636403	0.0018442646207624473	0.0023266107523464722	0.0018726379226203314	0.0016953047860085572	0.0019648511536584537	0.0020641577101610468	0.0016953047860085572	0.0016669314841506737	0.0017307714133309121	0.001879731248084802	0.1724245553903599	0.0018868245735492732	0.0020003177809808084	0.0022060242194504656	0.0017378647387953831	0.0018442646207624473	0.0023904506815267106	0.0018939178990137438	0.0848077992532147	0.0022131175449149366	0.002035784408303163	0.0025677838181384846	0.002489757238029304	0.002071251035625518	0.0025465038417450715	0.0022414908467728203	0.0023904506815267106	0.0021847442430570534	0.0022343975213083497	0.0021421842902702272	0.002255677497701763	0.0018726379226203314	0.002092531012018931	0.0025890637945318973	0.0016172782058993772	0.0019151978754071567	0.005263247494637446	0.0024117306579201233
MCW_CT_ROA_109_R1	0.09643960744369165	0.0005842611583108923	0.0008690884729874522	0.0009348178532974275	0.0009129080598607692	0.0005112285135220306	0.0006499905386208676	0.0006645970675786399	0.0022274956660602767	0.0007303264478886152	0.000766842770283046	0.0008398754150719075	0.0007522362413252738	0.000766842770283046	0.0011027929363118091	0.0017819965328482212	0.0014606528957772304	0.005499358152601273	0.0012342516969317597	0.0019426683513837167	0.0017527834749326767	0.001570201862960523	0.001723570417017132	0.0014460463668194581	0.0016651443011860428	0.001526382276087206	0.001862332442115969	0.0013657104575517107	0.0015921116563971812	0.0015117757471294335	0.001387620250988369	0.0018258161197215383	0.0016724475656649288	0.0018185128552426519	0.0021617662857503013	0.00170896388805936	0.0010735798783962644	0.001482562689213889	0.0018039063262848798	0.00170896388805936	0.0018112095907637659	0.0018915455000315135	0.0013657104575517107	0.0017746932683693351	0.0013145876061995076	0.14839503094648776	0.0017600867394115627	0.0016578410367071568	0.0017381769459749044	0.0016432345077493843	0.0015775051274394092	0.001336497399636166	0.0013730137220305967	0.001431439837861686	0.0015409888050449785	0.0019791846737781476	0.0017381769459749044	0.0007887525637197046	0.001862332442115969	0.0014898659536927753	0.0016432345077493843	0.0017016606235804735	0.0017016606235804735	0.0010370635560018337	0.001716267152538246	0.0016067181853549536	0.001475259424735003	0.0017746932683693351	0.002001094467214806	0.001679750830143815	0.0016432345077493843	0.0026072654189623562	0.0019499716158626029	0.0014898659536927753	0.002147159756792529
MCW_CT_ROA_109_R2	0.003688148561837507	0.0007887525637197046	0.000671900332057526	0.0008179656216352492	0.0011685223166217845	0.001000547233607403	0.10599227738207473	0.0007741460347619322	0.0005404415714375753	0.0006645970675786399	0.000766842770283046	0.0007303264478886152	0.0006280807451842092	0.001000547233607403	0.0007960558281985906	0.0018331193842004243	0.003374108189245403	0.0016870540946227015	0.0018842422355526275	0.0020814303764825535	0.0016432345077493843	0.0023078315753280246	0.002147159756792529	0.0017746932683693351	0.0020741271120036675	0.0018404226486793105	0.0017746932683693351	0.002015700996172578	0.001855029177637083	0.001723570417017132	0.0023735609556379995	0.002059520583045895	0.00218367607918696	0.0025342327741734953	0.0015117757471294335	0.002008397731693692	0.0019426683513837167	0.001679750830143815	0.002424683806990203	0.00208873364096144	0.0017454802104537907	0.0019572748803414887	0.0019572748803414887	0.0017381769459749044	0.0019207585579470582	0.0020449140540881225	0.0016724475656649288	0.1824939727984072	0.0020303075251303505	0.0021617662857503013	0.002103340169919212	0.0017819965328482212	0.0018331193842004243	0.002344347897722455	0.001862332442115969	0.08757344436632386	0.002431987071469089	0.0019499716158626029	0.0022128891371025043	0.002395470749074658	0.0022055858726236183	0.002424683806990203	0.0021252499633558704	0.002388167484595772	0.002190979343665846	0.002256708723975821	0.0025050197162579503	0.002132553227834757	0.0019499716158626029	0.002147159756792529	0.0023224381042857966	0.0016870540946227015	0.0020449140540881225	0.004710605588881568	0.0022128891371025043
